matricula  U.E.A. Trim Ev. Cal Plan
 208320236 2130034 08O GLO. EQ  56
 208320236 2300033 08O GLO. EQ  56
 208320236 2300034 08O GLO. EQ  56
 208320236 2300035 08O GLO. EQ  56
 208320236 2132075 09I GLO. EQ  56
 208320236 2255066 09I GLO. EQ  56
 208320236 2331062 09I GLO. EQ  56
 208320236 2331064 09I GLO. EQ  56
 208320236 2900056 09I GLO. EQ  56
 208320236 2132060 09P GLO. EQ  56
 208320236 2141025 09P GLO. EQ  56
 208320236 2255065 09P GLO. EQ  56
 208320236 2331065 09P GLO. EQ  56
 208320236 2900057 09P GLO. EQ  56
 208320236 2132064 09O GLO. EQ  56
 208320236 2141026 09O GLO. EQ  56
 208320236 2331063 09O GLO. EQ  56
 208320236 2331066 09O GLO. EQ  56
 208320236 2332081 09O GLO. EQ  56
 208320236 2122081 10I GLO. EQ  56
 208320236 2132061 10I GLO. EQ  56
 208320236 2331061 10I GLO. EQ  56
 208320236 2132065 10P GLO. EQ  56
 208320236 2255064 10P GLO. EQ  56
 208320236 2331067 10P GLO. EQ  56
 208320236 2112013 10O GLO. EQ  56
 208320236 2332060 10O GLO. EQ  56
 208320236 2332061 10O GLO. EQ  56
 208320236 2332063 10O GLO. EQ  56
 208320236 2332059 10O REC. EQ  56
 208320236 2122082 11I REC. EQ  56
 208320236 2132062 11I REC. EQ  56
 208320236 2332062 11P REC. EQ  56
 208320236 2132063 11O GLO. EQ  56
 208320236 2331072 11O REC. EQ  56
 208320236 2332066 12P GLO. EQ  56
 208320236 2122083 13I GLO. NA  56 BG01
 208320236 2331068 13I GLO. B   56 BK07
 208320236 2331074 13I GLO. NA  56 BI08
 208320236 2122083 13I REC. NA  56 J2283
 208320236 2331069 13P GLO. NA  56 BL57
 208320236 2332082 13P GLO. NA  56 BG58O
 208320236 2122083 13P REC. NA  56 J22083
 208320236 2331069 13P REC. S   56 J31069
 208320236 2211092 13O GLO. MB  56 HE51
 208320236 2122083 14I GLO. NA  56 BG51
 208320236 2211095 14I GLO. NA  56 HF04
 208320236 2321089 14I GLO. MB  56 BE06A
 208320236 2331073 14I GLO. NA  56 BI08
 208320236 2332080 14I GLO. B   56 BG08
 208320236 2211086 14P GLO. NA  56 HD52
 208320236 2255317 14P GLO. S   56 BA51
 208320236 2331073 14P GLO. MB  56 BI58
 208320236 2332075 14P GLO. NA  56 BG08
 208320236 2352000 14P GLO. NA  56 BL05
 208320236 2352015 14O GLO. MB  56 BL55
 208320236 2332074 15I GLO. NA  56 BG08
 208320236 2332075 15I GLO. NA  56 BG08
 208320236 2332083 15I GLO. B   56 BJ08
 208320236 2331076 15P GLO. NA  56 BK08
 208320236 2352032 15P GLO. MB  56 BL05
 208320236 2352011 15O GLO. MB  56 BL55
 208320236 2331076 17O GLO. NA  56 BK08
 208320236 2332086 17O GLO. NA  56 BK07
 208320236 2332087 20P GLO. B   56 BK58
 208320236 2122083 20P REC. S   56 J22083
 208320236 2331074 20O GLO. S   56 BI08
 208320236 2122084 20O REC. MB  56 J22084
 208353417 2300033 08O GLO. EQ  56
 208353417 2300034 08O GLO. EQ  56
 208353417 2300035 08O GLO. EQ  56
 208353417 2331062 09I GLO. EQ  56
 208353417 2331064 09P GLO. EQ  56
 208353417 2255065 09O GLO. EQ  56
 208353417 2331065 09O GLO. EQ  56
 208353417 2900057 09O GLO. EQ  56
 208353417 2331063 10I GLO. EQ  56
 208353417 2331066 10I GLO. EQ  56
 208353417 2332081 10I GLO. EQ  56
 208353417 2130034 10O REC. EQ  56
 208353417 2255066 11P GLO. EQ  56
 208353417 2900056 11P GLO. EQ  56
 208353417 2331067 11O REC. EQ  56
 208353417 2332061 12P GLO. EQ  56
 208353417 2332063 12P GLO. EQ  56
 208353417 2112013 13I GLO. NA  56 BC02
 208353417 2132075 13I GLO. S   56 BB04
 208353417 2332060 13I GLO. NA  56 BG08
 208353417 2112013 13P GLO. B   56 BB52
 208353417 2132060 13P GLO. S   56 BC03
 208353417 2332060 13P GLO. NA  56 BG08
 208353417 2132061 13O GLO. NA  56 BD02
 208353417 2331061 13O GLO. NA  56 BB57A
 208353417 2331072 13O GLO. MB  56 BH58
 208353417 2132061 14I GLO. S   56 BD02
 208353417 2331061 14I GLO. NA  56 BB07
 208353417 2332083 14I GLO. NA  56 BJ08
 208353417 2122081 14P GLO. NA  56 BC51
 208353417 2132062 14P GLO. S   56 BE02
 208353417 2331073 14P GLO. B   56 BI58
 208353417 2132063 14O GLO. NA  56 BF01
 208353417 2332083 14O GLO. S   56 BJ08
 208353417 2122081 14O GLO. B   56 BC51
 208353417 2132064 14O GLO. NA  56 BG01
 208353417 2132064 15I GLO. MB  56 BG02
 208353417 2331076 15I GLO. S   56 BK08
 208353417 2141025 15I GLO. S   56 BD02
 208353417 2331061 15I REC. S   56 J31061
 208353417 2122082 15P GLO. NA  56 BF02
 208353417 2132063 15P GLO. S   56 BF51
 208353417 2141026 15P GLO. S   56 BE01
 208353417 2332057 15P REC. S   56 J32057
 208353417 2211092 15O GLO. S   56 HE53
 208353417 2122082 15O GLO. B   56 BF02
 208353417 2211087 15O GLO. B   56 HD03
 208353417 2332062 15O GLO. MB  56 BG58
 208353417 2132065 16I GLO. NA  56 BH03
