matricula  U.E.A. Trim Ev. Cal Plan
 210317469 2255066 10O GLO. EQ  55
 210317469 2300033 10O GLO. EQ  55
 210317469 2300034 10O GLO. EQ  55
 210317469 2321054 10O GLO. EQ  55
 210317469 2321053 11I GLO. EQ  55
 210317469 2321055 11I GLO. EQ  55
 210317469 2321056 11I GLO. EQ  55
 210317469 2321065 11P GLO. EQ  55
 210317469 2321091 11P GLO. EQ  55
 210317469 2352035 11P REC. EQ  55
 210317469 2321052 11O GLO. EQ  55
 210317469 2321068 11O GLO. EQ  55
 210317469 2300035 12I GLO. EQ  55
 210317469 2321051 12P GLO. EQ  55
 210317469 2321058 12O GLO. EQ  55
 210317469 2321062 12O GLO. EQ  55
 210317469 2321070 12O GLO. EQ  55
 210317469 2321060 13I GLO. B   55 BF06
 210317469 2321067 13I GLO. MB  55 BB06C
 210317469 2321089 13I GLO. NA  55 BJ06
 210317469 2321059 13P GLO. MB  55 BF06
 210317469 2321063 13P GLO. B   55 BE06A
 210317469 2321064 13P GLO. B   55 BD06B
 210317469 2321072 13P GLO. MB  55 BG06
 210317469 2321057 13O GLO. MB  55 BC06A
 210317469 2321069 13O GLO. MB  55 BG06
 210317469 2321071 13O GLO. S   55 BG06
 210317469 2321076 13O GLO. MB  55 BH06
 210317469 2321089 13O GLO. NA  55 BE06
 210317469 2255064 13O REC. S   55 J55064
 210317469 2321089 13O REC. B   55 J21089
 210317469 2321050 14I GLO. MB  55 BA06
 210317469 2321061 14I GLO. MB  55 BD06A
 210317469 2321066 14I GLO. NA  55 BE06B
 210317469 2321073 14I GLO. NA  55 BH06
 210317469 2321090 14I GLO. NA  55 BE06
 210317469 2255065 14P GLO. S   55 HE13
 210317469 2321073 14P GLO. NA  55 BH06
 210317469 2321079 14P GLO. NA  55 BI06
 210317469 2321080 14P GLO. B   55 BI06
 210317469 2321082 14P GLO. NA  55 BI06
 210317469 2321074 14O GLO. MB  55 BH06
 210317469 2321081 14O GLO. MB  55 BJ06
 210317469 2292090 15I GLO. MB  55 HK51
 210317469 2321066 15I GLO. S   55 BE06B
 210317469 2321077 15I GLO. B   55 BI06
 210317469 2321079 15I GLO. S   55 BI06
 210317469 2321083 15P GLO. S   55 BJ06
 210317469 2321085 15P GLO. B   55 BJ06
 210317469 2321096 15P GLO. B   55 BI06
 210317469 2321093 15O GLO. S   55 BH06
 210317469 2321094 15O GLO. NA  55 BH06
 210317469 2321097 15O GLO. S   55 BJ06
 210317469 2321100 15O GLO. NA  55 BJ06
 210317469 2321073 15O REC. NA  55 J21073
 210317469 2321100 15O REC. NA  55 J21100
 210317469 2255145 16I GLO. NA  55 HJ02
 210317469 2321082 16I GLO. NA  55 BI06A
 210317469 2321086 16I GLO. MB  55 BK06B
 210317469 2321095 16I GLO. B   55 BI06
 210317469 2321084 16P GLO. NA  55 BJ06A
 210317469 2321087 16P GLO. B   55 BL06A
 210317469 2321099 16P GLO. S   55 BK06
 210317469 2321094 16O GLO. NA  55 BH06
 210317469 2293089 20P GLO. S   55 HH01
